"אבו ג'ווייעד (שבט)",
"אבו גוש",
"אבו סנאן",
"אבו סריחאן (שבט)",
"אבו עבדון (שבט)",
"אבו עמאר (שבט)",
"אבו עמרה (שבט)",
"אבו קורינאת (יישוב)",
"אבו קורינאת (שבט)",
"אבו רובייעה (שבט)",
"אבו רוקייק (שבט)",
"אבו תלול",
"אבטין",
"אבטליון",
"אביאל",
"אביבים",
"אביגדור",
"אביחיל",
"אביטל",
"אביעזר",
"אבירים",
"אבן יהודה",
"אבן מנחם",
"אבן ספיר",
"אבן שמואל",
"אבני איתן",
"אבני חפץ",
"אבנת",
"אבשלום",
"אדורה",
"אדירים",
"אדמית",
"אדרת",
"אודים",
"אודם",
"אוהד",
"אום אל-פחם",
"אום אל-קוטוף",
"אום בטין",
"אומן",
"אומץ",
"אופקים",
"אור הגנוז",
"אור הנר",
"אור יהודה",
"אור עקיבא",
"אורה",
"אורון",
"אורות",
"אורטל",
"אורים",
"אורנים",
"אורנית",
"אושה",
"אזור",
"אזור אילון מ"א 4",
"אזור אילון מ"א 52",
"אזור אילון של"ש",
"אזור אשדוד מ"א 29",
"אזור אשדוד מ"א 33",
"אזור אשדוד של"ש",
"אזור אשקלון מ"א 36",
"אזור אשקלון מ"א 37",
"אזור באר שבע מ"א 41",
"אזור באר שבע מ"א 51",
"אזור באר שבע של"ש",
"אזור בשור מ"א 38",
"אזור בשור מ"א 39",
"אזור בשור מ"א 42",
"אזור גלילות מ"א 19",
"אזור גרר מ"א 39",
"אזור גרר מ"א 41",
"אזור גרר מ"א 42",
"אזור זכרון יעקב מ"א 15",
"אזור זכרון יעקב של"ש",
"אזור חדרה מ"א 14",
"אזור חדרה מ"א 15",
"אזור חדרה מ"א 45",
"אזור חדרה של"ש",
"אזור חולון של"ש",
"אזור חיפה מ"א 12",
"אזור חיפה של"ש",
"אזור חצור מ"א 1",
"אזור חצור מ"א 55",
"אזור חצור של"ש",
"אזור יחיעם מ"א 2",
"אזור יחיעם מ"א 4",
"אזור יחיעם מ"א 52",
"אזור יחיעם מ"א 56",
"אזור יחיעם של"ש",
"אזור ים המלח מ"א 51",
"אזור יקנעם מ"א 13",
"אזור יקנעם מ"א 9",
"אזור כינרות מ"א 3",
"אזור כנרות מ"א 1",
"אזור כנרות מ"א 6",
"אזור כנרות של"ש",
"אזור כרמיאל מ"א 2",
"אזור כרמיאל מ"א 56",
"אזור כרמיאל של"ש",
"אזור לכיש מ"א 34",
"אזור לכיש מ"א 35",
"אזור לכיש מ"א 41",
"אזור לכיש מ"א 50",
"אזור מודיעין מ"א 25",
"אזור מודיעין מ"א 30",
"אזור מודיעין של"ש",
"אזור מלאכי מ"א 33",
"אזור מלאכי מ"א 34",
"אזור מלאכי מ"א 35",
"אזור מלאכי מ"א 50",
"אזור נהרייה מ"א 4",
"אזור נהרייה של"ש",
"אזור עכו מ"א 4",
"אזור עכו מ"א 56",
"אזור עכו של"ש",
"אזור פתח תקווה מ"א 20",
"אזור פתח תקווה מ"א 25",
"אזור פתח תקווה של"ש",
"אזור ראשל"צ מ"א 27",
"אזור ראשל"צ של"ש",
"אזור רחובות מ"א 28",
"אזור רחובות מ"א 29",
"אזור רחובות מ"א 30",
"אזור רחובות מ"א 31",
"אזור רחובות מ"א 32",
"אזור רחובות של"ש",
"אזור רמלה מ"א 25",
"אזור רמלה מ"א 30",
"אזור רמלה מ"א 40",
"אזור רמלה של"ש",
"אזור רמת גן של"ש",
"אזור שפרעם מ"א 56",
"אזור שפרעם מ"א 9",
"אזור שפרעם של"ש",
"אזור תל אביב של"ש",
"אזור תעסוקה משגב(תרדיון)",
"אזור תעשיה אכסאל מ"א 9",
"אזור תעשייה אכזיב (מילואות)",
"אזור תעשייה נעמן (מילואות)",
"אחווה",
"אחוזם",
"אחוזת ברק",
"אחיהוד",
"אחיטוב",
"אחיסמך",
"אחיעזר",
"אטרש (שבט)",
"איבים",
"אייל",
"איילת השחר",
"אילון",
"אילון תבור*",
"אילות",
"אילנייה",
"אילת",
"אירוס",
"איתמר",
"איתן",
"איתנים",
"אכסאל",
"אל -עזי",
"אל -עריאן",
"אל -רום",
"אל סייד",
"אלומה",
"אלומות",
"אלון הגליל",
"אלון מורה",
"אלון שבות",
"אלוני אבא",
"אלוני הבשן",
"אלוני יצחק",
"אלונים",
"אלי-עד",
"אליאב",
"אליכין",
"אליפז",
"אליפלט",
"אליקים",
"אלישיב",
"אלישמע",
"אלמגור",
"אלמוג",
"אלעד",
"אלעזר",
"אלפי מנשה",
"אלקוש",
"אלקנה",
"אמונים",
"אמירים",
"אמנון",
"אמציה",
"אניעם",
"אסד (שבט)",
"אספר",
"אעבלין",
"אעצם (שבט)",
"אפיניש (שבט)",
"אפיק",
"אפיקים",
"אפק",
"אפרת",
"ארבל",
"ארגמן",
"ארז",
"אריאל",
"ארסוף",
"אשבול",
"אשבל",
"אשדוד",
"אשדות יעקב (איחוד)",
"אשדות יעקב (מאוחד)",
"אשחר",
"אשכולות",
"אשל הנשיא",
"אשלים",
"אשקלון",
"אשרת",
"אשתאול",
"באקה אל-גרביה",
"באר אורה",
"באר גנים",
"באר טוביה",
"באר יעקב",
"באר מילכה",
"באר שבע",
"בארות יצחק",
"בארותיים",
"בארי",
"בוסתן הגליל",
"בועיינה-נוג'ידאת",
"בוקעאתא",
"בורגתה",
"בחן",
"בטחה",
"בי"ס אזורי מקיף (אשר)",
"ביצרון",
"ביר אל-מכסור",
"ביר הדאג'",
"בירייה",
"בית אורן",
"בית אל",
"בית אלעזרי",
"בית אלפא",
"בית אריה-עופרים",
"בית ברל",
"בית ג'ן",
"בית גוברין",
"בית גמליאל",
"בית דגן",
"בית הגדי",
"בית הלוי",
"בית הלל",
"בית העמק",
"בית הערבה",
"בית השיטה",
"בית זיד",
"בית זית",
"בית זרע",
"בית חולים פוריה",
"בית חורון",
"בית חירות",
"בית חלקיה",
"בית חנן",
"בית חנניה",
"בית חשמונאי",
"בית יהושע",
"בית יוסף",
"בית ינאי",
"בית יצחק-שער חפר",
"בית לחם הגלילית",
"בית מאיר",
"בית נחמיה",
"בית ניר",
"בית נקופה",
"בית עובד",
"בית עוזיאל",
"בית עזרא",
"בית עריף",
"בית צבי",
"בית קמה",
"בית קשת",
"בית רבן",
"בית רימון",
"בית שאן",
"בית שמש",
"בית שערים",
